Rider_ID,Full_Name,Gender,Date_of_Birth,Nationality,City,Phone,Email,Registration_Date,Status,Last_Ride_Date,Total_Rides,Total_Spent_SAR,Average_Rating_Given,Preferred_Payment_Method,Account_Tier,Women_Preferred_Rider
RDR000026,Anoud Al-Anazi,Female,2/5/1988,Pakistani,Tabuk,554049408,anoud.alanazi76@email.com,12/11/2025,Active,3/10/2023,667,13856.55,4.91,Credit Card,Diamond,Yes
RDR000027,Faisal Al-Mazrou,Male,7/9/1988,Saudi,Mecca,542635373,faisal.almazrou18@email.com,9/15/2024,Active,3/10/2023,432,16809.45,4.22,Cash,Diamond,No
RDR000028,Nasser Al-Saleh,Male,4/14/1982,Pakistani,Tabuk,529545414,nasser.alsaleh19@email.com,11/21/2023,Active,3/10/2023,668,19429.26,4.63,Apple Pay,Diamond,No
RDR000029,Jawaher Al-Turki,Female,9/19/1985,Pakistani,Riyadh,517329266,jawaher.alturki55@email.com,10/21/2024,Active,3/10/2023,695,17593.57,3.72,Debit Card,Diamond,No
RDR000030,Abdullah Al-Rajhi,Male,7/9/1982,Filipino,Medina,555051587,abdullah.alrajhi79@email.com,5/2/2024,Active,3/10/2023,479,11490.71,4.4,Apple Pay,Diamond,No
RDR000031,Dana Al-Dosari,Female,2/19/1998,Indian,Taif,593741127,dana.aldosari28@email.com,6/22/2019,Active,3/10/2023,4,88.68,4.46,Mada,Silver,No
RDR000032,Layan Al-Nasser,Female,5/30/1992,Saudi,Dhahran,584449447,layan.alnasser15@email.com,1/24/2021,Active,3/10/2023,7,134.9,4.04,Credit Card,Silver,Yes
RDR000033,Sarah Al-Rashid,Female,8/24/2000,Egyptian,Medina,584424395,sarah.alrashid32@email.com,3/21/2021,Active,3/10/2023,225,4580.15,4.83,Mada,Platinum,Yes
RDR000034,Rana Al-Rashid,Female,10/12/1994,Indian,Mecca,542232378,rana.alrashid48@email.com,4/2/2023,Active,3/10/2023,114,4478.45,4.01,Debit Card,Gold,No
RDR000035,Huda Al-Zahrani,Female,9/5/1991,Egyptian,Mecca,590470126,huda.alzahrani55@email.com,6/19/2020,Active,3/10/2023,197,8728.96,4.3,Mada,Platinum,Yes
RDR000036,Faisal Al-Zamil,Male,10/17/2002,Pakistani,Dammam,588394188,faisal.alzamil63@email.com,8/31/2020,Active,3/10/2023,55,1170.24,4.44,Apple Pay,Gold,No
RDR000037,Khalil Al-Muhanna,Male,9/5/1991,Indian,Jeddah,579644554,khalil.almuhanna60@email.com,11/16/2020,Active,3/10/2023,770,15684.87,4.82,Cash,Diamond,No
RDR000038,Aljohara Al-Mohammed,Female,4/27/1979,Saudi,Taif,537809859,aljohara.almohammed29@email.com,1/4/2022,Active,3/10/2023,654,27367.64,4.88,Cash,Diamond,Yes
RDR000039,Thamer Al-Nasser,Male,1/17/1997,Pakistani,Dammam,521376149,thamer.alnasser18@email.com,10/7/2023,Active,3/10/2023,586,22003.53,3.74,Apple Pay,Diamond,No
RDR000040,Nada Al-Sabah,Female,5/8/1989,Indian,Khobar,572753631,nada.alsabah56@email.com,7/31/2021,Active,3/10/2023,477,13007.11,4.27,Apple Pay,Diamond,No
RDR000041,Hind Al-Mansour,Female,10/7/2004,Saudi,Riyadh,577345747,hind.almansour66@email.com,1/5/2021,Active,3/10/2023,272,8540.68,4.47,Apple Pay,Platinum,Yes
RDR000042,Ghada Al-Dosari,Female,3/8/1978,Egyptian,Jeddah,543557605,ghada.aldosari39@email.com,10/20/2019,Active,3/10/2023,560,20919.55,3.8,Debit Card,Diamond,No
RDR000043,Mona Al-Saif,Female,11/30/1992,Jordanian,Mecca,564459981,mona.alsaif75@email.com,2/2/2025,Active,3/10/2023,9,339.61,4.66,Apple Pay,Silver,Yes
RDR000044,Thamer Al-Hassan,Male,6/10/1987,Sudanese,Medina,571928212,thamer.alhassan44@email.com,5/9/2021,Active,3/10/2023,529,20502.69,4.38,Cash,Diamond,No
RDR000045,Mona Al-Anazi,Female,7/24/1982,Saudi,Dhahran,551013170,mona.alanazi95@email.com,5/8/2021,Active,3/10/2023,572,8746.13,3.55,Debit Card,Diamond,No
RDR000046,Joud Al-Hassan,Female,5/7/1984,Saudi,Dhahran,553765651,joud.alhassan76@email.com,10/10/2023,Active,3/10/2023,414,6498.64,4.64,Mada,Diamond,No
RDR000047,Sultan Al-Rajhi,Male,4/22/1999,Jordanian,Tabuk,518550910,sultan.alrajhi69@email.com,10/5/2025,Active,3/10/2023,588,15636.69,4.8,Cash,Diamond,No
RDR000048,Rana Al-Rajhi,Female,3/11/1978,Pakistani,Tabuk,533841913,rana.alrajhi5@email.com,1/24/2024,Active,3/10/2023,312,12415.8,3.64,Credit Card,Diamond,No
RDR000049,Turki Al-Fahad,Male,4/29/2005,Indian,Jeddah,517711235,turki.alfahad48@email.com,4/30/2023,Active,3/10/2023,239,7302.87,3.94,Cash,Platinum,No
RDR000050,Rashed Al-Shammari,Male,5/19/2005,Jordanian,Dhahran,537713235,rashed.alshammari17@email.com,10/5/2020,Active,3/10/2023,133,5468.09,4.3,Cash,Gold,No
RDR000051,Raghad Al-Ali,Female,9/29/1977,Indian,Mecca,546969062,raghad.alali26@email.com,10/8/2025,Active,3/10/2023,318,4841.01,4.38,Cash,Diamond,Yes
RDR000052,Thamer Al-Saif,Male,9/17/1987,Filipino,Medina,515245871,thamer.alsaif95@email.com,11/23/2024,Active,3/10/2023,583,10338.39,4.82,Cash,Diamond,No
RDR000053,Tala Al-Saleh,Female,10/3/1980,Sudanese,Dhahran,567992341,tala.alsaleh59@email.com,11/15/2025,Active,3/10/2023,180,4777.19,4.12,Debit Card,Platinum,No
RDR000054,Thamer Al-Otaibi,Male,6/21/2005,Sudanese,Medina,539159454,thamer.alotaibi64@email.com,10/8/2020,Active,3/10/2023,644,17605.89,4.31,Mada,Diamond,No
RDR000055,Meshari Al-Harbi,Male,2/15/1997,Saudi,Jeddah,577922837,meshari.alharbi6@email.com,8/28/2024,Active,3/10/2023,334,9640.92,4.12,Debit Card,Diamond,No
RDR000056,Jasser Al-Mansour,Male,4/28/2003,Sudanese,Khobar,528318112,jasser.almansour42@email.com,6/24/2023,Active,3/10/2023,407,14289.31,3.56,Apple Pay,Diamond,No
RDR000057,Wadha Al-Kaabi,Female,3/5/2002,Indian,Jeddah,547465789,wadha.alkaabi21@email.com,12/5/2019,Active,3/10/2023,249,5009.3,4.57,Cash,Platinum,Yes
RDR000058,Turki Al-Baker,Male,1/29/1978,Saudi,Jeddah,530601948,turki.albaker57@email.com,12/29/2024,Active,3/10/2023,173,4453.47,3.62,Credit Card,Platinum,No
RDR000059,Fahad Al-Zamil,Male,9/29/1978,Sudanese,Medina,598589123,fahad.alzamil14@email.com,12/16/2023,Active,3/10/2023,651,17393.78,4.72,Mada,Diamond,No
RDR000060,Nada Al-Qahtani,Female,8/29/1991,Saudi,Tabuk,536841625,nada.alqahtani12@email.com,1/20/2019,Inactive,4/1/2021,99,1532.63,3.8,Debit Card,Gold,Yes
RDR000061,Hamad Al-Fahad,Male,12/7/2000,Sudanese,Jeddah,532420703,hamad.alfahad6@email.com,6/22/2021,Active,3/10/2023,99,2719.57,4.7,Mada,Gold,No
RDR000062,Rashed Al-Hamdan,Male,1/17/2003,Saudi,Abha,538693064,rashed.alhamdan14@email.com,2/15/2021,Active,3/10/2023,555,14262,4.09,Cash,Diamond,No
RDR000063,Ahmed Al-Faisal,Male,12/22/1995,Yemeni,Khobar,593739701,ahmed.alfaisal48@email.com,2/19/2019,Active,3/10/2023,470,7669.54,3.83,Mada,Diamond,No
RDR000064,Ziyad Al-Saleh,Male,10/9/2000,Saudi,Tabuk,522716400,ziyad.alsaleh77@email.com,8/8/2024,Active,3/10/2023,105,2596.72,4.57,Cash,Gold,No
RDR000065,Maha Al-Rajhi,Female,9/3/2007,Filipino,Mecca,588522325,maha.alrajhi58@email.com,7/26/2022,Active,3/10/2023,683,18079.79,4.22,Apple Pay,Diamond,No
RDR000066,Ahmed Al-Hassan,Male,3/30/1989,Saudi,Riyadh,593183615,ahmed.alhassan11@email.com,11/29/2025,Active,3/10/2023,128,2150.1,3.96,Mada,Gold,No
RDR000067,Wadha Al-Baker,Female,8/21/1981,Indian,Medina,554116005,wadha.albaker18@email.com,9/13/2020,Active,3/10/2023,658,15360.22,3.56,Mada,Diamond,No
RDR000068,Ziyad Al-Baker,Male,4/9/1984,Saudi,Riyadh,599255596,ziyad.albaker32@email.com,7/27/2021,Active,3/10/2023,340,13274.81,4.01,Debit Card,Diamond,No
RDR000069,Mishal Al-Sabah,Male,4/29/2005,Saudi,Khobar,516993664,mishal.alsabah82@email.com,1/21/2021,Active,3/10/2023,7,313.32,3.6,Cash,Silver,No
RDR000070,Nasser Al-Mutairi,Male,5/6/1989,Sudanese,Mecca,572689644,nasser.almutairi40@email.com,8/24/2025,Active,3/10/2023,210,4184.2,3.85,Credit Card,Platinum,No
RDR000071,Ali Al-Anazi,Male,6/7/1999,Saudi,Mecca,574581639,ali.alanazi11@email.com,10/17/2025,Active,3/10/2023,293,12754.41,4.36,Mada,Platinum,No
RDR000072,Yara Al-Mansour,Female,6/22/2001,Indian,Mecca,512658997,yara.almansour98@email.com,4/12/2024,Active,3/10/2023,518,13697.26,4.41,Cash,Diamond,No
RDR000073,Lina Al-Jasser,Female,4/1/1983,Filipino,Mecca,574537834,lina.aljasser10@email.com,11/19/2021,Active,3/10/2023,314,7849.07,4.18,Cash,Diamond,No
RDR000074,Sultan Al-Fahad,Male,4/26/1990,Jordanian,Riyadh,562968985,sultan.alfahad96@email.com,2/22/2019,Active,3/10/2023,748,19593.37,4.59,Cash,Diamond,No
RDR000075,Shatha Al-Rumaih,Female,3/7/2001,Saudi,Jeddah,568558918,shatha.alrumaih33@email.com,8/2/2023,Active,3/10/2023,128,4881.68,4.08,Cash,Gold,No
RDR000076,Wadha Al-Turki,Female,12/1/2006,Egyptian,Riyadh,594685039,wadha.alturki91@email.com,4/28/2023,Active,3/10/2023,754,26610.75,3.87,Cash,Diamond,No
RDR000077,Ibrahim Al-Saif,Male,3/23/2001,Saudi,Taif,525667321,ibrahim.alsaif99@email.com,8/26/2020,Active,3/10/2023,617,10963.58,4.37,Mada,Diamond,No
RDR000078,Yara Al-Rumaih,Female,2/13/1997,Sudanese,Jeddah,550563223,yara.alrumaih65@email.com,10/24/2024,Active,3/10/2023,434,19109.24,3.75,Cash,Diamond,No
RDR000079,Shatha Al-Shammari,Female,5/25/1996,Sudanese,Jeddah,538122043,shatha.alshammari96@email.com,3/23/2020,Active,3/10/2023,796,21443.53,4.7,Debit Card,Diamond,Yes
RDR000080,Mubarak Al-Saud,Male,7/13/1995,Sudanese,Jeddah,567841075,mubarak.alsaud22@email.com,10/14/2019,Active,3/10/2023,428,8684.99,4.29,Mada,Diamond,No
RDR000081,Nasser Al-Fahad,Male,2/20/2000,Saudi,Taif,517916438,nasser.alfahad96@email.com,1/15/2021,Active,3/10/2023,113,2314.45,4.18,Debit Card,Gold,No
RDR000082,Ibrahim Al-Shammari,Male,7/10/1991,Saudi,Taif,547146394,ibrahim.alshammari9@email.com,3/23/2020,Active,3/10/2023,171,4320.24,3.62,Credit Card,Platinum,No
RDR000083,Khalil Al-Mohammed,Male,2/14/2004,Saudi,Jeddah,580106555,khalil.almohammed1@email.com,2/8/2019,Inactive,3/24/2019,86,2259.22,4.37,Credit Card,Gold,No
RDR000084,Wadha Al-Ali,Female,4/29/1994,Saudi,Khobar,558480869,wadha.alali86@email.com,10/11/2025,Active,3/10/2023,380,10242.57,4.52,Apple Pay,Diamond,No
RDR000085,Joud Al-Dosari,Female,4/25/2007,Filipino,Riyadh,526494625,joud.aldosari68@email.com,2/15/2024,Active,3/10/2023,412,9634.22,4.59,Debit Card,Diamond,No
RDR000086,Meshari Al-Marri,Male,1/5/1994,Saudi,Tabuk,595064149,meshari.almarri47@email.com,4/30/2024,Active,3/10/2023,677,27894.45,3.78,Mada,Diamond,No
RDR000087,Nada Al-Hassan,Female,4/9/1989,Indian,Tabuk,598360765,nada.alhassan90@email.com,6/7/2024,Active,3/10/2023,628,26474.02,4.69,Apple Pay,Diamond,No
RDR000088,Mona Al-Ghamdi,Female,2/16/1986,Saudi,Abha,550446284,mona.alghamdi87@email.com,5/31/2025,Active,3/10/2023,734,32948.63,4.26,Debit Card,Diamond,No
RDR000089,Dana Al-Marri,Female,11/14/1978,Sudanese,Jeddah,522003335,dana.almarri14@email.com,5/28/2024,Active,3/10/2023,247,6927.56,3.87,Debit Card,Platinum,No
RDR000090,Rashed Al-Mansour,Male,12/11/2002,Yemeni,Dammam,528220919,rashed.almansour69@email.com,6/21/2021,Active,3/10/2023,682,23192.4,4.21,Mada,Diamond,No
RDR000091,Lama Al-Rajhi,Female,7/22/1991,Sudanese,Medina,561224263,lama.alrajhi84@email.com,6/17/2025,Active,3/10/2023,616,21106.05,3.6,Apple Pay,Diamond,Yes
RDR000092,Ghada Al-Hassan,Female,11/25/1981,Saudi,Dammam,525583513,ghada.alhassan74@email.com,4/18/2020,Active,3/10/2023,115,2993.69,3.63,Mada,Gold,No
RDR000093,Fatima Al-Saleh,Female,2/3/1992,Yemeni,Riyadh,526952687,fatima.alsaleh67@email.com,8/13/2025,Active,3/10/2023,398,13895.09,4.97,Apple Pay,Diamond,Yes
RDR000094,Thamer Al-Saud,Male,12/18/1977,Indian,Abha,529787096,thamer.alsaud77@email.com,3/1/2024,Active,3/10/2023,304,7144.54,4.76,Cash,Diamond,No
RDR000095,Rashed Al-Saleh,Male,10/15/1998,Indian,Abha,549123810,rashed.alsaleh91@email.com,5/20/2020,Active,3/10/2023,724,31852.29,4.36,Mada,Diamond,No
RDR000096,Hamad Al-Ghamdi,Male,8/6/1986,Sudanese,Medina,562587561,hamad.alghamdi39@email.com,7/10/2021,Active,3/10/2023,54,2404.71,4.88,Debit Card,Gold,No
RDR000097,Mohammed Al-Jasser,Male,12/3/1990,Saudi,Dhahran,580846080,mohammed.aljasser94@email.com,10/14/2022,Active,3/10/2023,485,11393.23,4.99,Cash,Diamond,No
RDR000098,Thamer Al-Dosari,Male,8/20/1976,Saudi,Mecca,571408972,thamer.aldosari84@email.com,8/17/2022,Active,3/10/2023,595,11846.95,4.8,Credit Card,Diamond,No
RDR000099,Hamed Al-Ali,Male,1/21/2008,Egyptian,Dammam,587266743,hamed.alali14@email.com,8/16/2020,Active,3/10/2023,767,27113.09,3.79,Mada,Diamond,No
RDR000100,Mishal Al-Anazi,Male,3/15/2003,Pakistani,Mecca,597254650,mishal.alanazi44@email.com,8/19/2019,Active,3/10/2023,486,15941.66,3.77,Credit Card,Diamond,No
RDR000101,Thamer Al-Mahmoud,Male,9/22/2000,Yemeni,Riyadh,560381528,thamer.almahmoud89@email.com,5/1/2020,Active,3/10/2023,501,22412.19,3.95,Cash,Diamond,No
RDR000102,Jasser Al-Mansour,Male,7/9/1986,Yemeni,Dammam,599763770,jasser.almansour66@email.com,12/29/2023,Active,3/10/2023,123,2675.01,3.67,Credit Card,Gold,No
RDR000103,Hind Al-Dosari,Female,10/31/1982,Saudi,Tabuk,523346779,hind.aldosari42@email.com,1/11/2021,Active,3/10/2023,661,11174.17,4.55,Apple Pay,Diamond,No
RDR000104,Thamer Al-Rashid,Male,3/27/1982,Pakistani,Dhahran,597469782,thamer.alrashid16@email.com,3/27/2025,Active,3/10/2023,543,20419.65,4.23,Cash,Diamond,No
RDR000105,Yousef Al-Ahmadi,Male,9/1/1982,Saudi,Tabuk,597595925,yousef.alahmadi21@email.com,1/7/2021,Inactive,8/10/2023,41,723.02,3.68,Debit Card,Silver,No
RDR000106,Sarah Al-Mutairi,Female,6/17/2008,Saudi,Jeddah,550345846,sarah.almutairi6@email.com,9/4/2024,Active,3/10/2023,558,24209.63,3.76,Mada,Diamond,Yes
RDR000107,Nada Al-Shehri,Female,4/10/1981,Pakistani,Tabuk,578530276,nada.alshehri27@email.com,7/1/2024,Active,3/10/2023,536,19101.92,4.87,Apple Pay,Diamond,No
RDR000108,Ali Al-Otaibi,Male,9/13/1983,Saudi,Medina,589427788,ali.alotaibi46@email.com,8/3/2020,Active,3/10/2023,221,5154.13,4.94,Cash,Platinum,No
RDR000109,Huda Al-Jasser,Female,1/23/1997,Yemeni,Dammam,567088619,huda.aljasser89@email.com,12/3/2021,Active,3/10/2023,168,3241.95,4.1,Credit Card,Platinum,Yes
RDR000110,Mona Al-Turki,Female,1/5/1989,Jordanian,Tabuk,513477562,mona.alturki78@email.com,9/25/2024,Active,3/10/2023,430,9642.72,4.73,Apple Pay,Diamond,Yes
RDR000111,Ziyad Al-Harbi,Male,5/4/1998,Saudi,Khobar,511323834,ziyad.alharbi13@email.com,12/31/2019,Active,3/10/2023,342,8999.62,4.67,Debit Card,Diamond,No
RDR000112,Mishal Al-Dosari,Male,3/6/2004,Pakistani,Jeddah,556828593,mishal.aldosari90@email.com,12/20/2020,Active,3/10/2023,314,10099.73,4.38,Cash,Diamond,No
RDR000113,Hind Al-Saif,Female,1/22/1978,Pakistani,Jeddah,584044121,hind.alsaif77@email.com,7/16/2019,Active,3/10/2023,770,31924.69,4.08,Apple Pay,Diamond,Yes
RDR000114,Ibrahim Al-Saud,Male,6/21/1996,Saudi,Abha,595791097,ibrahim.alsaud48@email.com,9/28/2020,Active,3/10/2023,147,5325.09,4.07,Mada,Gold,No
RDR000115,Ziyad Al-Kaabi,Male,4/11/1989,Pakistani,Mecca,540704198,ziyad.alkaabi40@email.com,12/3/2023,Active,3/10/2023,480,16353.15,4.25,Apple Pay,Diamond,No
RDR000116,Saleh Al-Shammari,Male,1/21/2001,Filipino,Khobar,517705644,saleh.alshammari11@email.com,1/5/2020,Active,3/10/2023,79,2946.88,4.59,Credit Card,Gold,No
RDR000117,Fatima Al-Anazi,Female,8/1/1984,Sudanese,Abha,526735821,fatima.alanazi52@email.com,7/12/2020,Active,3/10/2023,528,8140.18,4.53,Mada,Diamond,Yes
RDR000118,Badr Al-Zamil,Male,10/12/1977,Filipino,Khobar,515684923,badr.alzamil78@email.com,9/27/2021,Active,3/10/2023,678,19295.58,4.93,Cash,Diamond,No
RDR000119,Hassan Al-Ahmadi,Male,7/3/1989,Indian,Jeddah,560881238,hassan.alahmadi22@email.com,2/12/2023,Active,3/10/2023,527,13806.62,4.03,Credit Card,Diamond,No
RDR000120,Hamad Al-Mahmoud,Male,5/13/2008,Sudanese,Abha,594715069,hamad.almahmoud73@email.com,4/27/2020,Active,3/10/2023,495,13270.28,3.94,Debit Card,Diamond,No
RDR000121,Sarah Al-Kaabi,Female,8/3/1992,Saudi,Tabuk,510691813,sarah.alkaabi45@email.com,6/22/2024,Inactive,8/3/2024,79,3294.77,4.19,Apple Pay,Gold,Yes
RDR000122,Fatima Al-Dosari,Female,1/15/1990,Saudi,Dhahran,575419352,fatima.aldosari1@email.com,7/8/2024,Active,3/10/2023,542,10660.55,4.27,Debit Card,Diamond,No
RDR000123,Khalil Al-Faisal,Male,8/4/2003,Indian,Khobar,598084362,khalil.alfaisal57@email.com,5/10/2022,Active,3/10/2023,187,3712.89,4.3,Apple Pay,Platinum,No
RDR000124,Raghad Al-Saud,Female,7/30/1989,Sudanese,Khobar,554454724,raghad.alsaud5@email.com,3/23/2021,Active,3/10/2023,292,5784.34,3.56,Cash,Platinum,Yes
RDR000125,Hind Al-Zahrani,Female,7/12/1990,Pakistani,Dhahran,562190363,hind.alzahrani17@email.com,6/26/2024,Active,3/10/2023,699,12786.1,4.57,Apple Pay,Diamond,Yes
RDR000126,Nasser Al-Ghamdi,Male,3/11/1989,Filipino,Khobar,511077619,nasser.alghamdi56@email.com,8/10/2024,Inactive,9/1/2025,7,205.84,4.52,Apple Pay,Silver,No
RDR000127,Wadha Al-Mutairi,Female,11/8/1995,Saudi,Dhahran,545370495,wadha.almutairi90@email.com,10/11/2021,Active,3/10/2023,747,16748.21,4.27,Debit Card,Diamond,No
RDR000128,Khalil Al-Dosari,Male,3/5/1998,Saudi,Abha,527756443,khalil.aldosari52@email.com,11/8/2025,Active,3/10/2023,606,9787.5,4.44,Debit Card,Diamond,No
RDR000129,Sultan Al-Anazi,Male,9/20/1994,Sudanese,Riyadh,595001425,sultan.alanazi30@email.com,11/30/2025,Active,3/10/2023,53,1147.62,4.07,Cash,Gold,No
RDR000130,Aljohara Al-Qahtani,Female,11/18/1995,Egyptian,Abha,566112969,aljohara.alqahtani32@email.com,10/16/2023,Active,3/10/2023,312,7673.71,3.67,Apple Pay,Diamond,Yes
RDR000131,Ahmed Al-Qahtani,Male,2/19/1989,Saudi,Khobar,543858172,ahmed.alqahtani63@email.com,5/18/2021,Active,3/10/2023,287,7435.43,4.86,Credit Card,Platinum,No
RDR000132,Reem Al-Dosari,Female,4/3/1992,Sudanese,Riyadh,589042306,reem.aldosari68@email.com,3/10/2025,Active,3/10/2023,134,4440.95,4,Mada,Gold,Yes
RDR000133,Samar Al-Rumaih,Female,1/25/2003,Saudi,Dhahran,588726945,samar.alrumaih84@email.com,12/24/2019,Active,3/10/2023,134,5295.98,4.44,Cash,Gold,Yes
RDR000134,Rana Al-Harbi,Female,7/13/1984,Sudanese,Abha,530625554,rana.alharbi6@email.com,12/10/2025,Active,3/10/2023,743,13994.37,4.21,Debit Card,Diamond,Yes
RDR000135,Tala Al-Turki,Female,11/11/1985,Saudi,Taif,532405653,tala.alturki77@email.com,4/25/2020,Active,3/10/2023,70,1625.71,4.22,Cash,Gold,No
RDR000136,Sarah Al-Mazrou,Female,6/7/1985,Saudi,Riyadh,532215479,sarah.almazrou57@email.com,2/18/2021,Active,3/10/2023,408,15308.91,4.24,Cash,Diamond,Yes
RDR000137,Yara Al-Saif,Female,3/18/1977,Saudi,Dammam,578826270,yara.alsaif59@email.com,4/27/2021,Active,3/10/2023,164,4938.78,4.36,Cash,Platinum,No
RDR000138,Shatha Al-Hassan,Female,10/12/1997,Saudi,Dammam,515246661,shatha.alhassan82@email.com,1/4/2022,Active,3/10/2023,176,3422.18,3.84,Cash,Platinum,No
RDR000139,Sami Al-Qahtani,Male,4/27/1981,Egyptian,Medina,553561957,sami.alqahtani11@email.com,5/10/2021,Active,3/10/2023,2,86.79,4.47,Mada,Silver,No
RDR000140,Maha Al-Shammari,Female,7/8/1992,Saudi,Tabuk,547539330,maha.alshammari23@email.com,4/22/2022,Active,3/10/2023,59,1338.1,4.44,Credit Card,Gold,Yes
RDR000141,Mishal Al-Farsi,Male,4/26/1999,Filipino,Tabuk,594530413,mishal.alfarsi97@email.com,3/6/2025,Active,3/10/2023,453,12169.35,3.83,Apple Pay,Diamond,No
